"","CHIA","SIMA","TERRchi","TRIAreg","TRIAsm","EPHA"
"666",1,0,2.5,2,0,0
"667",0.5,0,1.5,2.5,0,0.5
"668",1,0,3,4.5,0,0
"669",0,0,0.5,3,0,0
"670",0,0,1.5,2,0,0
"671",0.5,0,0.5,0.5,0,0
"672",0,0,0,0.5,0,0
"673",2,0,1.5,2.5,0,0
"674",1.5,0,2,0.5,0,0
"675",0,0,1,1.5,0,0
"676",1.5,0.5,4,2.5,0,0
