SAMPLE_ID,TRIP_ID,START_DATETIME,START_RKM,CATCH_PER_HOUR
451601,LC20140415,4/17/2014,12.23,0.30
451603,LC20140415,4/17/2014,12.08,0.05
451605,LC20140415,4/16/2014,11.96,0.65
451606,LC20140415,4/17/2014,11.96,0.17
451607,LC20140415,4/18/2014,11.96,1.36
451608,LC20140415,4/16/2014,11.93,0.08
451609,LC20140415,4/17/2014,11.93,0.06
451610,LC20140415,4/18/2014,11.93,0.03
451611,LC20140415,4/16/2014,11.88,0.08
451612,LC20140415,4/17/2014,11.88,0.18
451613,LC20140415,4/18/2014,11.88,0.16
451614,LC20140415,4/16/2014,11.87,0.68
451615,LC20140415,4/17/2014,11.87,0.47
451616,LC20140415,4/18/2014,11.87,0.16
451617,LC20140415,4/16/2014,11.75,1.14
451618,LC20140415,4/17/2014,11.75,0.80
451619,LC20140415,4/18/2014,11.75,1.03
451620,LC20140415,4/19/2014,11.67,1.99
451621,LC20140415,4/20/2014,11.67,0.53
451622,LC20140415,4/19/2014,11.66,0.25
451623,LC20140415,4/20/2014,11.66,0.12
451624,LC20140415,4/19/2014,11.6,0.08
451625,LC20140415,4/20/2014,11.65,0.08
451626,LC20140415,4/19/2014,11.47,0.24
451628,LC20140415,4/19/2014,11.45,1.06
451629,LC20140415,4/20/2014,11.45,0.28
451630,LC20140415,4/19/2014,11.43,0.36
451631,LC20140415,4/20/2014,11.43,0.04
451634,LC20140415,4/19/2014,11.33,0.08
451635,LC20140415,4/20/2014,11.33,0.13
451636,LC20140415,4/19/2014,11.29,0.15
451637,LC20140415,4/20/2014,11.29,0.13
451638,LC20140415,4/19/2014,11.2,0.07
451639,LC20140415,4/20/2014,11.18,0.13
451640,LC20140415,4/19/2014,11.17,0.11
451641,LC20140415,4/20/2014,11.17,0.13
451642,LC20140415,4/19/2014,11.07,0.44
451643,LC20140415,4/20/2014,11.08,0.56
451646,LC20140415,4/21/2014,10.81,0.17
451647,LC20140415,4/22/2014,10.81,0.03
451648,LC20140415,4/23/2014,10.81,0.10
451649,LC20140415,4/21/2014,10.71,0.17
451650,LC20140415,4/22/2014,10.78,0.07
451651,LC20140415,4/23/2014,10.78,0.05
451652,LC20140415,4/21/2014,10.58,8.57
451653,LC20140415,4/22/2014,10.62,0.83
451654,LC20140415,4/23/2014,10.62,0.18
451655,LC20140415,4/21/2014,10.54,0.55
451656,LC20140415,4/22/2014,10.54,0.34
451657,LC20140415,4/23/2014,10.54,0.19
451658,LC20140415,4/21/2014,10.53,0.19
451659,LC20140415,4/22/2014,10.53,6.90
451660,LC20140415,4/23/2014,10.6,0.05
451661,LC20140415,4/21/2014,10.48,0.08
451662,LC20140415,4/22/2014,10.48,0.21
451663,LC20140415,4/23/2014,10.48,0.62
451664,LC20140415,4/21/2014,10.48,0.39
451665,LC20140415,4/22/2014,10.48,0.33
451666,LC20140415,4/23/2014,10.48,0.65
451667,LC20140415,4/21/2014,10.44,0.04
451668,LC20140415,4/22/2014,10.44,0.09
451670,LC20140415,4/15/2014,10.43,0.77
451672,LC20140415,4/18/2014,10.43,0.90
451673,LC20140415,4/19/2014,10.43,0.37
451674,LC20140415,4/20/2014,10.43,0.21
451675,LC20140415,4/21/2014,10.43,0.90
451676,LC20140415,4/22/2014,10.43,0.39
451677,LC20140415,4/23/2014,10.43,0.37
451678,LC20140415,4/21/2014,10.38,0.34
451679,LC20140415,4/22/2014,10.38,0.38
451680,LC20140415,4/23/2014,10.38,0.28
451681,LC20140415,4/21/2014,10.33,0.17
451682,LC20140415,4/22/2014,10.33,0.14
451683,LC20140415,4/23/2014,10.33,0.12
451684,LC20140415,4/21/2014,10.18,1.23
451685,LC20140415,4/22/2014,10.18,0.30
451686,LC20140415,4/23/2014,10.18,0.19
451687,LC20140415,4/21/2014,10.17,0.10
451688,LC20140415,4/22/2014,10.18,0.61
451689,LC20140415,4/23/2014,10.18,0.35
451690,LC20140415,4/21/2014,10.14,0.23
451691,LC20140415,4/22/2014,10.16,0.21
451692,LC20140415,4/23/2014,10.16,0.08
451693,LC20140415,4/21/2014,10.12,0.33
451695,LC20140415,4/23/2014,10.1,0.19
451696,LC20140415,4/21/2014,10.05,0.32
451697,LC20140415,4/22/2014,10.05,0.16
451699,LC20140415,4/21/2014,9.83,0.38
451700,LC20140415,4/22/2014,9.83,0.06
451701,LC20140415,4/23/2014,9.83,0.28
451705,LC20140513,5/14/2014,4.6,0.44
451706,LC20140513,5/13/2014,4.6,0.05
451709,LC20140513,5/14/2014,4.52,0.23
451710,LC20140513,5/15/2014,4.52,0.24
451712,LC20140513,5/14/2014,4.51,0.19
451715,LC20140513,5/14/2014,4.42,0.12
451716,LC20140513,5/15/2014,4.42,0.14
451717,LC20140513,5/13/2014,4.15,0.20
451718,LC20140513,5/14/2014,4.15,0.12
451719,LC20140513,5/15/2014,4.15,0.14
451720,LC20140513,5/13/2014,4.1,0.10
451722,LC20140513,5/15/2014,4.1,0.73
451723,LC20140513,5/13/2014,4,1.39
451726,LC20140513,5/13/2014,3.79,0.05
451727,LC20140513,5/14/2014,3.79,0.30
451728,LC20140513,5/15/2014,3.79,0.12
451729,LC20140513,5/13/2014,3.9,0.28
451730,LC20140513,5/14/2014,3.9,0.23
451731,LC20140513,5/15/2014,3.9,0.12
451732,LC20140513,5/13/2014,3.5,0.09
451733,LC20140513,5/14/2014,3.5,0.14
451734,LC20140513,5/15/2014,3.5,0.08
451735,LC20140513,5/13/2014,3.43,0.14
451736,LC20140513,5/14/2014,3.43,0.09
451739,LC20140513,5/14/2014,3.23,0.42
