Sample,Length,Month,Year,RKM
451391,282,4,2014,6.31
451391,295,4,2014,6.31
451391,258,4,2014,6.31
451391,205,4,2014,6.31
451391,296,4,2014,6.31
451391,259,4,2014,6.31
451391,115,4,2014,6.31
451392,293,4,2014,6.31
451392,286,4,2014,6.31
451392,172,4,2014,6.31
451392,124,4,2014,6.31
451392,104,4,2014,6.31
451392,115,4,2014,6.31
451392,116,4,2014,6.31
451393,242,4,2014,6.36
451393,321,4,2014,6.36
451393,221,4,2014,6.36
451393,120,4,2014,6.36
451396,113,4,2014,6.45
451396,120,4,2014,6.45
451396,180,4,2014,6.45
451396,116,4,2014,6.45
451396,117,4,2014,6.45
451398,265,4,2014,6.44
451399,308,4,2014,6.48
451399,284,4,2014,6.48
451399,276,4,2014,6.48
451399,165,4,2014,6.48
451399,216,4,2014,6.48
451399,233,4,2014,6.48
451399,194,4,2014,6.48
451399,196,4,2014,6.48
451399,179,4,2014,6.48
451399,180,4,2014,6.48
451399,185,4,2014,6.48
451399,216,4,2014,6.48
451399,182,4,2014,6.48
451399,122,4,2014,6.48
451400,116,4,2014,6.55
451401,295,4,2014,6.58
451401,317,4,2014,6.58
451401,320,4,2014,6.58
451401,306,4,2014,6.58
451401,275,4,2014,6.58
451401,246,4,2014,6.58
451401,261,4,2014,6.58
451401,302,4,2014,6.58
451401,239,4,2014,6.58
451401,299,4,2014,6.58
451401,312,4,2014,6.58
451401,274,4,2014,6.58
451401,227,4,2014,6.58
451401,285,4,2014,6.58
451401,247,4,2014,6.58
451401,270,4,2014,6.58
451402,194,4,2014,6.58
451402,111,4,2014,6.58
451402,158,4,2014,6.58
451402,106,4,2014,6.58
451403,276,4,2014,6.58
451403,203,4,2014,6.58
451406,264,4,2014,6.65
451406,266,4,2014,6.65
451406,296,4,2014,6.65
451406,279,4,2014,6.65
451406,201,4,2014,6.65
451406,183,4,2014,6.65
451406,211,4,2014,6.65
451406,170,4,2014,6.65
451406,157,4,2014,6.65
451406,170,4,2014,6.65
451406,123,4,2014,6.65
451406,119,4,2014,6.65
451406,304,4,2014,6.65
451406,309,4,2014,6.65
451406,102,4,2014,6.65
451407,172,4,2014,7.05
451407,302,4,2014,7.05
451407,116,4,2014,7.05
451407,185,4,2014,7.05
451408,336,4,2014,7.05
451408,276,4,2014,7.05
451408,291,4,2014,7.05
451408,321,4,2014,7.05
451408,118,4,2014,7.05
451409,285,4,2014,7.56
451409,274,4,2014,7.56
451409,330,4,2014,7.56
451409,115,4,2014,7.56
451409,107,4,2014,7.56
451409,105,4,2014,7.56
451409,190,4,2014,7.56
451409,128,4,2014,7.56
451409,116,4,2014,7.56
451409,120,4,2014,7.56
451409,111,4,2014,7.56
451409,105,4,2014,7.56
451409,102,4,2014,7.56
451409,116,4,2014,7.56
451409,121,4,2014,7.56
451409,112,4,2014,7.56
451409,115,4,2014,7.56
451409,105,4,2014,7.56
451410,281,4,2014,7.5
451410,327,4,2014,7.5
451410,186,4,2014,7.5
451410,117,4,2014,7.5
451410,122,4,2014,7.5
451410,111,4,2014,7.5
451410,99,4,2014,7.5
451410,109,4,2014,7.5
451410,109,4,2014,7.5
451410,120,4,2014,7.5
451410,121,4,2014,7.5
451410,115,4,2014,7.5
451410,98,4,2014,7.5
451410,96,4,2014,7.5
451410,109,4,2014,7.5
451411,378,4,2014,7.5
451411,279,4,2014,7.5
451411,200,4,2014,7.5
451411,249,4,2014,7.5
451411,220,4,2014,7.5
451411,124,4,2014,7.5
451411,109,4,2014,7.5
451412,390,4,2014,7.57
451412,111,4,2014,7.57
451412,121,4,2014,7.57
451413,120,4,2014,7.57
451415,104,4,2014,7.8
451417,295,4,2014,7.85
451417,200,4,2014,7.85
451418,385,4,2014,7.85
451418,256,4,2014,7.85
451419,268,4,2014,7.85
451419,161,4,2014,7.85
451421,268,4,2014,7.95
451423,112,4,2014,7.97
451425,300,4,2014,7.98
451425,248,4,2014,7.98
451425,138,4,2014,7.98
451425,295,4,2014,7.98
451425,244,4,2014,7.98
451425,328,4,2014,7.98
451425,250,4,2014,7.98
451425,172,4,2014,7.98
451425,293,4,2014,7.98
451425,270,4,2014,7.98
451425,316,4,2014,7.98
451425,386,4,2014,7.98
451425,319,4,2014,7.98
451425,313,4,2014,7.98
451425,282,4,2014,7.98
451425,238,4,2014,7.98
451425,270,4,2014,7.98
451425,275,4,2014,7.98
451425,320,4,2014,7.98
451425,290,4,2014,7.98
451425,217,4,2014,7.98
451425,255,4,2014,7.98
451425,277,4,2014,7.98
451425,215,4,2014,7.98
451427,326,4,2014,7.98
451428,104,4,2014,4.97
451428,99,4,2014,4.97
451428,100,4,2014,4.97
451428,109,4,2014,4.97
451428,104,4,2014,4.97
451428,125,4,2014,4.97
451428,116,4,2014,4.97
451428,95,4,2014,4.97
451428,110,4,2014,4.97
451429,180,4,2014,4.97
451429,105,4,2014,4.97
451431,319,4,2014,5
451431,294,4,2014,5
451431,309,4,2014,5
451431,245,4,2014,5
451431,176,4,2014,5
451432,312,4,2014,5.02
451432,310,4,2014,5.02
451432,357,4,2014,5.02
451432,304,4,2014,5.02
451432,254,4,2014,5.02
451432,179,4,2014,5.02
451434,121,4,2014,5.78
451439,336,4,2014,6.09
451439,388,4,2014,6.09
451441,272,4,2014,6.16
451441,305,4,2014,6.16
451441,240,4,2014,6.16
451441,240,4,2014,6.16
451441,235,4,2014,6.16
451441,135,4,2014,6.16
451442,115,4,2014,6.33
451443,383,4,2014,6.33
451443,109,4,2014,6.33
451444,315,4,2014,6.34
451444,80,4,2014,6.34
451445,126,4,2014,6.34
451446,107,4,2014,6.35
451447,112,4,2014,6.35
451448,206,4,2014,6.36
451448,291,4,2014,6.36
451448,114,4,2014,6.36
451448,160,4,2014,6.36
451448,119,4,2014,6.36
451448,110,4,2014,6.36
451448,107,4,2014,6.36
451448,115,4,2014,6.36
451449,183,4,2014,6.48
451449,219,4,2014,6.48
451449,120,4,2014,6.48
451450,337,4,2014,6.48
451450,312,4,2014,6.48
451450,227,4,2014,6.48
451450,275,4,2014,6.48
451450,264,4,2014,6.48
451450,285,4,2014,6.48
451450,227,4,2014,6.48
451450,300,4,2014,6.48
451450,225,4,2014,6.48
451450,209,4,2014,6.48
451451,157,4,2014,6.52
451451,161,4,2014,6.52
451451,187,4,2014,6.52
451451,155,4,2014,6.52
451451,118,4,2014,6.52
451451,146,4,2014,6.52
451451,213,4,2014,6.52
451451,170,4,2014,6.52
451451,116,4,2014,6.52
451451,106,4,2014,6.52
451451,102,4,2014,6.52
451451,108,4,2014,6.52
451452,104,4,2014,6.52
451454,433,4,2014,6.55
451454,221,4,2014,6.55
451454,178,4,2014,6.55
451454,200,4,2014,6.55
451454,175,4,2014,6.55
451454,120,4,2014,6.55
451454,160,4,2014,6.55
451454,120,4,2014,6.55
451455,290,4,2014,6.55
451455,205,4,2014,6.55
451455,181,4,2014,6.55
451456,188,4,2014,6.69
451456,231,4,2014,6.69
451457,235,4,2014,6.69
451457,185,4,2014,6.69
451458,327,4,2014,6.69
451459,175,4,2014,6.81
451462,244,4,2014,7.05
451462,292,4,2014,7.05
451462,285,4,2014,7.05
451462,320,4,2014,7.05
451462,288,4,2014,7.05
451462,290,4,2014,7.05
451462,252,4,2014,7.05
451462,259,4,2014,7.05
451462,289,4,2014,7.05
451462,268,4,2014,7.05
451462,278,4,2014,7.05
451462,280,4,2014,7.05
451462,230,4,2014,7.05
451462,322,4,2014,7.05
451462,258,4,2014,7.05
451462,262,4,2014,7.05
451462,220,4,2014,7.05
451462,177,4,2014,7.05
451462,255,4,2014,7.05
451462,173,4,2014,7.05
451462,182,4,2014,7.05
451462,278,4,2014,7.05
451462,207,4,2014,7.05
451462,247,4,2014,7.05
451462,201,4,2014,7.05
451462,177,4,2014,7.05
